C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|IEFBR14|DD1     |SVP.MTH.W54H5080 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|SORT|SORTIN  |SVP.MTH.W54H5080.HOLD 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|SORT|SORTOUT |SVP.MTH.W54H5080 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|IEFBR14|SORTOUT |APP.SALVCOM.FTP.PARM 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|IEFBR14|OUTFILE |APP.SALVCOM.FTP.PARM 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|IEFBR14|SYSIN   |ENDVR.USR.PROD.EZTRIEVE(SV54E01A) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|FTP|SYSFTPD |ENDVR.USR.PROD.SYSIN(FTSDATA) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|FTP|INPUT   |ENDVR.USR.PROD.SYSIN(APFTPLW1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|FTP|        |APP.SALVCOM.FTP.PARM 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|FTP|SYSFTPD |ENDVR.USR.PROD.SYSIN(FTSDATA) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|FTP|INPUT   |ENDVR.USR.PROD.SYSIN(APFTPLW1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|FTP|        |ENDVR.USR.PROD.SYSIN(APFTPSA1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|SORT|SORTIN  |SVP.MTH.W54H5080.HOLD 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|SORT|SORTOUT |SVP.MTH.W54H5080.HOLD.BACKUP(+1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CCOM.JCL|IDCAMS|SYSIN  D|ENDVR.USR.PROD.SYSIN(CCOMPRC1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|IEFBR14|DD1     |SVP.MTH.W54H5020 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|SORT|SORTIN  |SVP.MTH.W54H5020.HOLD 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|SORT|SORTOUT |SVP.MTH.W54H5020 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|IEFBR14|SORTOUT |APP.SALVHWI.FTP.PARM 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|IEFBR14|OUTFILE |APP.SALVHWI.FTP.PARM 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|IEFBR14|SYSIN   |ENDVR.USR.PROD.EZTRIEVE(SV54E03A) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|FTP|SYSFTPD |ENDVR.USR.PROD.SYSIN(FTSDATA) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|FTP|INPUT   |ENDVR.USR.PROD.SYSIN(APFTPLW1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|FTP|        |APP.SALVHWI.FTP.PARM 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|FTP|SYSFTPD |ENDVR.USR.PROD.SYSIN(FTSDATA) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|FTP|INPUT   |ENDVR.USR.PROD.SYSIN(APFTPLW1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|FTP|        |ENDVR.USR.PROD.SYSIN(APFTPSA1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|SORT|SORTIN  |SVP.MTH.W54H5020.HOLD 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|SORT|SORTOUT |SVP.MTH.W54H5020.HOLD.BACKUP(+1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CHWI.JCL|IDCAMS|SYSIN  D|ENDVR.USR.PROD.SYSIN(CHWIPRC1) 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CPNW.JCL|IEFBR14|DD1     |SVP.MTH.W54H5705.PORTSV.VND 
C:/Users/dattas6/Desktop/Test/JCL/TYPRUN_SCAN_JCL/P854CPNW.JCL|SORT|SORTIN  |SVP.MTH.W54H5705.PORTSV.VHOLD 
